"month_year","agency","agency_name","complaint_count","avg_resolution_hours"
"2014-12",NYPD,New York City Police Department,37838,3.97
"2015-01",DEP,Department of Environmental Protection,13009,233.42
"2015-01",DOT,Department of Transportation,21508,316.30
"2015-01",DSNY,Department of Sanitation,15268,634.96
"2015-01",HPD,Department of Housing Preservation and Development,82159,372.71
"2015-01",HPD,Division of Alternative Management,4,9546.00
"2015-01",NYPD,New York City Police Department,35761,3.59
"2015-02",DEP,Department of Environmental Protection,15176,209.22
"2015-02",DOT,Department of Transportation,24960,291.93
"2015-02",DSNY,Department of Sanitation,16369,476.83
"2015-02",HPD,Department of Housing Preservation and Development,83547,343.90
"2015-02",NYPD,New York City Police Department,34320,3.49
"2015-03",DEP,Department of Environmental Protection,15390,245.95
"2015-03",DOT,Department of Transportation,46331,303.65
"2015-03",DSNY,Department of Sanitation,16726,918.47
"2015-03",HPD,Department of Housing Preservation and Development,57075,331.74
"2015-03",NYPD,New York City Police Department,40902,3.60
"2015-04",DEP,Department of Environmental Protection,15183,275.50
"2015-04",DOT,Department of Transportation,33373,402.15
"2015-04",DSNY,Department of Sanitation,12969,1441.31
"2015-04",HPD,Department of Housing Preservation and Development,45711,321.03
"2015-04",HPD,Division of Alternative Management,1,120.00
"2015-04",NYPD,New York City Police Department,43848,3.59
"2015-05",DEP,Department of Environmental Protection,15878,248.30
"2015-05",DOT,Department of Transportation,26885,416.59
"2015-05",DSNY,Department of Sanitation,13254,1285.18
"2015-05",HPD,Department of Housing Preservation and Development,34264,349.60
"2015-05",NYPD,New York City Police Department,59371,3.81
"2015-06",DEP,Department of Environmental Protection,18081,235.02
"2015-06",DOT,Department of Transportation,29668,445.33
"2015-06",DSNY,Department of Sanitation,14558,851.51
"2015-06",HPD,Department of Housing Preservation and Development,37227,427.18
"2015-06",NYPD,New York City Police Department,54394,3.98
"2015-07",DEP,Department of Environmental Protection,19684,227.61
"2015-07",DOT,Department of Transportation,24789,459.06
"2015-07",DSNY,Department of Sanitation,16387,376.89
"2015-07",HPD,Department of Housing Preservation and Development,37990,373.27
"2015-07",NYPD,New York City Police Department,52696,4.08
"2015-08",DEP,Department of Environmental Protection,15924,230.84
"2015-08",DOT,Department of Transportation,24015,377.29
"2015-08",DSNY,Department of Sanitation,15118,349.08
"2015-08",HPD,Department of Housing Preservation and Development,37389,361.35
"2015-08",NYPD,New York City Police Department,55071,4.21
"2015-09",DEP,Department of Environmental Protection,14992,254.68
"2015-09",DOT,Department of Transportation,23464,1014.49
"2015-09",DSNY,Department of Sanitation,14511,299.67
"2015-09",HPD,Department of Housing Preservation and Development,37286,351.63
"2015-09",NYPD,New York City Police Department,54853,4.35
"2015-10",DEP,Department of Environmental Protection,15228,214.72
"2015-10",DOT,Department of Transportation,21890,408.29
"2015-10",DSNY,Department of Sanitation,13154,510.95
"2015-10",HPD,Department of Housing Preservation and Development,63481,309.81
"2015-10",HPD,Division of Alternative Management,2,0.00
"2015-10",NYPD,New York City Police Department,49761,4.67
"2015-11",DEP,Department of Environmental Protection,13464,187.91
"2015-11",DOT,Department of Transportation,18788,318.62
"2015-11",DSNY,Department of Sanitation,13157,537.48
"2015-11",HPD,Department of Housing Preservation and Development,61204,359.70
"2015-11",NYPD,New York City Police Department,47267,4.52
"2015-12",DEP,Department of Environmental Protection,12725,198.15
"2015-12",DOT,Department of Transportation,21361,313.79
"2015-12",DSNY,Department of Sanitation,12336,962.05
"2015-12",HPD,Department of Housing Preservation and Development,52869,367.69
"2015-12",HPD,Division of Alternative Management,2,0.00
"2015-12",NYPD,New York City Police Department,48236,4.92
"2016-01",DEP,Department of Environmental Protection,14878,182.70
"2016-01",DOT,Department of Transportation,22270,316.09
"2016-01",DSNY,Department of Sanitation,16054,732.75
"2016-01",HPD,Department of Housing Preservation and Development,83040,331.24
"2016-01",NYPD,New York City Police Department,45312,4.77
"2016-02",DEP,Department of Environmental Protection,16730,212.62
"2016-02",DOT,Department of Transportation,26584,408.79
"2016-02",DSNY,Department of Sanitation,13089,1051.22
"2016-02",HPD,Department of Housing Preservation and Development,70468,263.25
"2016-02",HPD,Division of Alternative Management,2,0.00
"2016-02",NYPD,New York City Police Department,40702,4.76
"2016-03",DEP,Department of Environmental Protection,18921,382.61
"2016-03",DOT,Department of Transportation,29464,332.86
"2016-03",DSNY,Department of Sanitation,14265,960.95
"2016-03",HPD,Department of Housing Preservation and Development,47871,230.89
"2016-03",HPD,Division of Alternative Management,1,0.00
"2016-03",NYPD,New York City Police Department,49054,4.95
"2016-04",DEP,Department of Environmental Protection,15836,244.69
"2016-04",DOT,Department of Transportation,25536,371.62
"2016-04",DSNY,Department of Sanitation,13575,842.66
"2016-04",HPD,Department of Housing Preservation and Development,38260,221.24
"2016-04",HPD,Division of Alternative Management,1,0.00
"2016-04",NYPD,New York City Police Department,54802,4.75
"2016-05",DEP,Department of Environmental Protection,16624,306.44
"2016-05",DOT,Department of Transportation,27582,364.15
"2016-05",DSNY,Department of Sanitation,15020,1086.64
"2016-05",HPD,Department of Housing Preservation and Development,34657,248.40
"2016-05",NYPD,New York City Police Department,65064,5.63
"2016-06",DEP,Department of Environmental Protection,16048,268.02
"2016-06",DOT,Department of Transportation,23904,348.98
"2016-06",DSNY,Department of Sanitation,17366,744.01
"2016-06",HPD,Department of Housing Preservation and Development,31814,290.10
"2016-06",NYPD,New York City Police Department,67610,5.88
"2016-07",DEP,Department of Environmental Protection,21125,204.00
"2016-07",DOT,Department of Transportation,21517,357.31
"2016-07",DSNY,Department of Sanitation,16900,448.21
"2016-07",HPD,Department of Housing Preservation and Development,33692,333.59
"2016-07",NYPD,New York City Police Department,62060,9.42
"2016-08",DEP,Department of Environmental Protection,20441,197.61
"2016-08",DOT,Department of Transportation,21783,343.01
"2016-08",DSNY,Department of Sanitation,17402,405.27
"2016-08",HPD,Department of Housing Preservation and Development,37720,331.12
"2016-08",NYPD,New York City Police Department,56772,7.28
"2016-09",DEP,Department of Environmental Protection,14835,254.00
"2016-09",DOT,Department of Transportation,19976,344.63
"2016-09",DSNY,Department of Sanitation,15732,305.04
"2016-09",HPD,Department of Housing Preservation and Development,31424,341.34
"2016-09",NYPD,New York City Police Department,64855,5.06
"2016-10",DEP,Department of Environmental Protection,14287,264.59
"2016-10",DOT,Department of Transportation,19552,318.82
"2016-10",DSNY,Department of Sanitation,14210,374.67
"2016-10",HPD,Department of Housing Preservation and Development,54682,341.40
"2016-10",HPD,Division of Alternative Management,5,4435.20
"2016-10",NYPD,New York City Police Department,58600,4.54
"2016-11",DEP,Department of Environmental Protection,13855,230.72
"2016-11",DOT,Department of Transportation,19079,318.20
"2016-11",DOT,DOT,1,241.88
"2016-11",DSNY,Department of Sanitation,14063,429.44
"2016-11",HPD,Department of Housing Preservation and Development,59339,468.10
"2016-11",NYPD,New York City Police Department,51409,5.51
"2016-12",DEP,Department of Environmental Protection,11983,207.91
"2016-12",DOT,Department of Transportation,20045,282.63
"2016-12",DSNY,Department of Sanitation,14405,450.48
"2016-12",HPD,Department of Housing Preservation and Development,74681,417.09
"2016-12",HPD,Division of Alternative Management,4,0.00
"2016-12",NYPD,New York City Police Department,51952,5.09
"2017-01",DEP,Department of Environmental Protection,14592,221.53
"2017-01",DOT,Department of Transportation,23174,307.62
"2017-01",DSNY,Department of Sanitation,17448,833.64
"2017-01",HPD,Department of Housing Preservation and Development,68119,374.81
"2017-01",HPD,Division of Alternative Management,1,0.00
"2017-01",NYPD,New York City Police Department,51746,4.70
"2017-02",DEP,Department of Environmental Protection,13796,228.90
"2017-02",DOT,Department of Transportation,21477,304.54
"2017-02",DSNY,Department of Sanitation,15635,379.15
"2017-02",HPD,Department of Housing Preservation and Development,52062,357.00
"2017-02",HPD,Division of Alternative Management,2,9348.00
"2017-02",NYPD,New York City Police Department,45946,5.11
"2017-03",DEP,Department of Environmental Protection,13239,248.39
"2017-03",DOT,Department of Transportation,25601,312.80
"2017-03",DSNY,Department of Sanitation,20595,354.08
"2017-03",HPD,Department of Housing Preservation and Development,60959,284.49
"2017-03",NYPD,New York City Police Department,51920,5.24
"2017-04",DEP,Department of Environmental Protection,16910,281.36
"2017-04",DOT,Department of Transportation,27026,313.61
"2017-04",DSNY,Department of Sanitation,16610,531.54
"2017-04",HPD,Department of Housing Preservation and Development,37428,259.70
"2017-04",NYPD,New York City Police Department,61353,5.30
"2017-05",DEP,Department of Environmental Protection,18338,260.99
"2017-05",DOT,Department of Transportation,26005,336.53
"2017-05",DSNY,Department of Sanitation,17354,941.08
"2017-05",HPD,Department of Housing Preservation and Development,36883,290.54
"2017-05",NYPD,New York City Police Department,68101,5.84
"2017-06",DEP,Department of Environmental Protection,19017,252.79
"2017-06",DOT,Department of Transportation,23904,262.39
"2017-06",DSNY,Department of Sanitation,19893,575.58
"2017-06",HPD,Department of Housing Preservation and Development,31082,333.84
"2017-06",HPD,Division of Alternative Management,1,0.00
"2017-06",NYPD,New York City Police Department,75857,5.74
"2017-07",DEP,Department of Environmental Protection,17789,282.13
"2017-07",DOT,Department of Transportation,20244,298.25
"2017-07",DSNY,Department of Sanitation,23513,634.71
"2017-07",HPD,Department of Housing Preservation and Development,32416,330.05
"2017-07",NYPD,New York City Police Department,71944,5.37
"2017-08",DEP,Department of Environmental Protection,15067,372.74
"2017-08",DOT,Department of Transportation,21211,327.44
"2017-08",DSNY,Department of Sanitation,21667,698.31
"2017-08",HPD,Department of Housing Preservation and Development,34308,336.26
"2017-08",NYPD,New York City Police Department,66909,6.71
"2017-09",DEP,Department of Environmental Protection,14058,258.97
"2017-09",DOT,Department of Transportation,19976,339.02
"2017-09",DSNY,Department of Sanitation,30201,320.71
"2017-09",HPD,Department of Housing Preservation and Development,29655,328.72
"2017-09",NYPD,New York City Police Department,72138,8.76
"2017-10",DEP,Department of Environmental Protection,15045,210.24
"2017-10",DOT,Department of Transportation,20286,356.43
"2017-10",DSNY,Department of Sanitation,31730,656.83
"2017-10",HPD,Department of Housing Preservation and Development,40523,329.13
"2017-10",HPD,Division of Alternative Management,1,13320.00
"2017-10",NYPD,New York City Police Department,68374,5.13
"2017-10",NYPD,Traffic Management Center,67,2.42
"2017-11",DEP,Department of Environmental Protection,12638,242.40
"2017-11",DOT,Department of Transportation,17977,305.52
"2017-11",DSNY,Department of Sanitation,29156,498.74
"2017-11",HPD,Department of Housing Preservation and Development,67125,372.58
"2017-11",HPD,Division of Alternative Management,1,8952.00
"2017-11",NYPD,New York City Police Department,54641,4.75
"2017-11",NYPD,Traffic Management Center,90,1.96
"2017-12",DEP,Department of Environmental Protection,11926,250.20
"2017-12",DOT,Department of Transportation,18115,299.96
"2017-12",DSNY,Department of Sanitation,27390,898.04
"2017-12",HPD,Department of Housing Preservation and Development,77413,324.18
"2017-12",HPD,Division of Alternative Management,3,5744.00
"2017-12",NYPD,New York City Police Department,53563,5.10
"2017-12",NYPD,Traffic Management Center,60,4.71
"2018-01",DEP,Department of Environmental Protection,22503,230.61
"2018-01",DOT,Department of Transportation,23016,343.36
"2018-01",DSNY,Department of Sanitation,29224,573.68
"2018-01",HPD,Department of Housing Preservation and Development,94698,277.18
"2018-01",HPD,Division of Alternative Management,8,936.00
"2018-01",NYPD,New York City Police Department,51537,5.82
"2018-01",NYPD,Traffic Management Center,87,1.88
"2018-02",DEP,Department of Environmental Protection,13743,266.39
"2018-02",DOT,Department of Transportation,27101,254.09
"2018-02",DSNY,Department of Sanitation,26704,353.85
"2018-02",HPD,Department of Housing Preservation and Development,46926,264.83
"2018-02",HPD,Division of Alternative Management,13,112.62
"2018-02",NYPD,New York City Police Department,47545,7.38
"2018-02",NYPD,Traffic Management Center,60,2.14
"2018-03",DEP,Department of Environmental Protection,14757,346.39
"2018-03",DOT,Department of Transportation,28380,295.70
"2018-03",DSNY,Department of Sanitation,28029,315.33
"2018-03",HPD,Department of Housing Preservation and Development,54046,261.56
"2018-03",HPD,Division of Alternative Management,3,10344.00
"2018-03",NYPD,New York City Police Department,54466,8.18
"2018-03",NYPD,Traffic Management Center,64,2.58
"2018-04",DEP,Department of Environmental Protection,16158,377.74
"2018-04",DOT,Department of Transportation,25353,318.65
"2018-04",DSNY,Department of Sanitation,32691,427.33
"2018-04",HPD,Department of Housing Preservation and Development,42948,246.26
"2018-04",HPD,Division of Alternative Management,3,0.00
"2018-04",NYPD,New York City Police Department,58156,6.69
"2018-04",NYPD,Traffic Management Center,69,3.04
"2018-05",DEP,Department of Environmental Protection,17424,336.52
"2018-05",DOT,Department of Transportation,26526,294.96
"2018-05",DSNY,Department of Sanitation,36908,255.74
"2018-05",HPD,Department of Housing Preservation and Development,31926,287.66
"2018-05",NYPD,New York City Police Department,74184,5.73
"2018-05",NYPD,Traffic Management Center,114,2.82
"2018-06",DEP,Department of Environmental Protection,17783,394.23
"2018-06",DOT,Department of Transportation,23033,257.83
"2018-06",DSNY,Department of Sanitation,38740,204.57
"2018-06",HPD,Department of Housing Preservation and Development,29837,326.23
"2018-06",NYPD,New York City Police Department,77973,16.19
"2018-06",NYPD,Traffic Management Center,82,3.27
"2018-07",DEP,Department of Environmental Protection,20858,314.32
"2018-07",DOT,Department of Transportation,21284,260.64
"2018-07",DSNY,Department of Sanitation,40537,300.27
"2018-07",HPD,Department of Housing Preservation and Development,35134,377.37
"2018-07",HPD,Division of Alternative Management,5,0.00
"2018-07",NYPD,New York City Police Department,70665,14.41
"2018-07",NYPD,Traffic Management Center,72,3.35
"2018-08",DEP,Department of Environmental Protection,18404,258.83
"2018-08",DOT,Department of Transportation,24862,1620.76
"2018-08",DSNY,Department of Sanitation,42364,408.15
"2018-08",HPD,Department of Housing Preservation and Development,40223,379.83
"2018-08",NYPD,New York City Police Department,64602,13.65
"2018-08",NYPD,Traffic Management Center,77,2.84
"2018-09",DEP,Department of Environmental Protection,16363,224.36
"2018-09",DOT,Department of Transportation,19933,296.19
"2018-09",DSNY,Department of Sanitation,39120,902.88
"2018-09",HPD,Department of Housing Preservation and Development,37440,309.22
"2018-09",HPD,Division of Alternative Management,2,0.00
"2018-09",NYPD,New York City Police Department,73107,12.55
"2018-09",NYPD,Traffic Management Center,75,3.79
"2018-10",DEP,Department of Environmental Protection,16123,257.63
"2018-10",DOT,Department of Transportation,22339,326.97
"2018-10",DSNY,Department of Sanitation,37467,261.70
"2018-10",HPD,Department of Housing Preservation and Development,66576,393.95
"2018-10",HPD,Division of Alternative Management,7,1467.43
"2018-10",NYPD,New York City Police Department,65668,10.24
"2018-10",NYPD,Traffic Management Center,98,3.69
"2018-11",DEP,Department of Environmental Protection,14551,196.60
"2018-11",DOT,Department of Transportation,17956,349.38
"2018-11",DSNY,Department of Sanitation,33897,522.64
"2018-11",HPD,Department of Housing Preservation and Development,68976,375.75
"2018-11",HPD,Division of Alternative Management,9,936.00
"2018-11",NYPD,New York City Police Department,55576,8.69
"2018-11",NYPD,Traffic Management Center,98,2.65
"2018-12",DEP,Department of Environmental Protection,13952,191.64
"2018-12",DOT,Department of Transportation,19035,285.65
"2018-12",DSNY,Department of Sanitation,33420,560.08
"2018-12",HPD,Department of Housing Preservation and Development,59575,295.87
"2018-12",NYPD,New York City Police Department,57456,6.36
"2018-12",NYPD,Traffic Management Center,81,2.51
"2019-01",DEP,Department of Environmental Protection,16098,192.80
"2019-01",DOT,Department of Transportation,21158,355.11
"2019-01",DSNY,Department of Sanitation,35508,653.19
"2019-01",HPD,Department of Housing Preservation and Development,82791,258.08
"2019-01",NYPD,New York City Police Department,53101,7.12
"2019-01",NYPD,Traffic Management Center,46,3.74
"2019-02",DEP,Department of Environmental Protection,14007,249.06
"2019-02",DOT,Department of Transportation,20175,382.22
"2019-02",DSNY,Department of Sanitation,29251,507.64
"2019-02",HPD,Department of Housing Preservation and Development,59135,283.24
"2019-02",HPD,Division of Alternative Management,6,0.00
"2019-02",NYPD,New York City Police Department,48879,6.07
"2019-02",NYPD,Traffic Management Center,82,2.60
"2019-03",DEP,Department of Environmental Protection,14250,247.42
"2019-03",DOT,Department of Transportation,24468,326.06
"2019-03",DSNY,Department of Sanitation,35386,440.35
"2019-03",HPD,Department of Housing Preservation and Development,51886,234.57
"2019-03",HPD,Division of Alternative Management,5,0.00
"2019-03",NYPD,New York City Police Department,60432,6.50
"2019-03",NYPD,Traffic Management Center,113,2.54
"2019-04",DEP,Department of Environmental Protection,15096,253.47
"2019-04",DOT,Department of Transportation,22566,347.64
"2019-04",DSNY,Department of Sanitation,37176,500.18
"2019-04",HPD,Department of Housing Preservation and Development,40042,255.36
"2019-04",HPD,Division of Alternative Management,19,121.26
"2019-04",NYPD,New York City Police Department,64838,5.66
"2019-04",NYPD,Traffic Management Center,155,2.26
"2019-05",DEP,Department of Environmental Protection,16408,245.42
"2019-05",DOT,Department of Transportation,24687,336.97
"2019-05",DSNY,Department of Sanitation,40270,578.41
"2019-05",HPD,Department of Housing Preservation and Development,36410,223.06
"2019-05",NYPD,New York City Police Department,83308,4.50
"2019-05",NYPD,Traffic Management Center,102,2.55
"2019-06",DEP,Department of Environmental Protection,16269,197.54
"2019-06",DOT,Department of Transportation,22680,394.70
"2019-06",DSNY,Department of Sanitation,42677,701.30
"2019-06",HPD,Department of Housing Preservation and Development,32901,300.47
"2019-06",HPD,Division of Alternative Management,1,0.00
"2019-06",NYPD,New York City Police Department,90227,10.45
"2019-06",NYPD,Traffic Management Center,31,1.82
"2019-07",DEP,Department of Environmental Protection,22252,107.36
"2019-07",DOT,Department of Transportation,22717,412.81
"2019-07",DSNY,Department of Sanitation,44053,435.13
"2019-07",HPD,Department of Housing Preservation and Development,15890,333.41
"2019-07",HPD,Division of Alternative Management,2,0.00
"2019-07",NYPD,New York City Police Department,76192,23.02
"2019-08",DEP,Department of Environmental Protection,14811,161.16
"2019-08",DOT,Department of Transportation,26128,824.21
"2019-08",DSNY,Department of Sanitation,41801,420.59
"2019-08",HPD,Department of Housing Preservation and Development,14521,407.20
"2019-08",HPD,Division of Alternative Management,3,0.00
"2019-08",NYPD,New York City Police Department,78076,52.21
"2019-09",DEP,Department of Environmental Protection,13258,147.37
"2019-09",DOT,Department of Transportation,22818,814.10
"2019-09",DSNY,Department of Sanitation,38116,229.43
"2019-09",HPD,Department of Housing Preservation and Development,13892,373.10
"2019-09",NYPD,New York City Police Department,87721,49.72
"2019-10",DEP,Department of Environmental Protection,13643,140.78
"2019-10",DOT,Department of Transportation,20950,537.08
"2019-10",DSNY,Department of Sanitation,37535,340.90
"2019-10",HPD,Department of Housing Preservation and Development,27394,311.43
"2019-10",NYPD,New York City Police Department,74320,23.10
