"month_year","complaint_type","rank","cantidad_reclamos"
"2015-03",Blocked Driveway,4,9035
"2015-03",Street Light Condition,5,8523
"2015-03",Illegal Parking,6,7182
"2015-03",PAINT/PLASTER,7,6390
"2015-03",UNSANITARY CONDITION,8,6066
"2015-03",Water System,9,6055
"2015-03",Traffic Signal Condition,10,5417
"2015-04",Street Condition,1,16746
"2015-04",Noise - Residential,2,16116
"2015-04",HEAT/HOT WATER,3,13526
"2015-04",Street Light Condition,4,9030
"2015-04",Illegal Parking,5,6918
"2015-04",Blocked Driveway,6,6867
"2015-04",UNSANITARY CONDITION,7,5897
"2015-04",PAINT/PLASTER,8,5614
"2015-04",Noise,9,5450
"2015-04",Water System,10,5215
"2015-05",Noise - Residential,1,22923
"2015-05",Street Condition,2,11359
"2015-05",Street Light Condition,3,8625
"2015-05",Illegal Parking,4,8105
"2015-05",Blocked Driveway,5,8103
"2015-05",Noise - Street/Sidewalk,6,7157
"2015-05",Noise,7,5980
"2015-05",UNSANITARY CONDITION,8,5789
"2015-05",Water System,9,5165
"2015-05",PAINT/PLASTER,10,4982
"2015-06",Noise - Residential,1,18494
"2015-06",Street Condition,2,11914
"2015-06",Street Light Condition,3,8639
"2015-06",Illegal Parking,4,8604
"2015-06",Blocked Driveway,5,8583
"2015-06",UNSANITARY CONDITION,6,7069
"2015-06",Water System,7,6857
"2015-06",Noise - Street/Sidewalk,8,6279
"2015-06",PAINT/PLASTER,9,5748
"2015-06",Noise,10,5242
"2015-07",Noise - Residential,1,17962
"2015-07",Water System,2,10070
"2015-07",Street Condition,3,8604
"2015-07",UNSANITARY CONDITION,4,8244
"2015-07",Illegal Parking,5,8185
"2015-07",Street Light Condition,6,8089
"2015-07",Blocked Driveway,7,7663
"2015-07",Noise - Street/Sidewalk,8,7651
"2015-07",PAINT/PLASTER,9,6058
"2015-07",General Construction/Plumbing,10,5085
"2015-08",Noise - Residential,1,19547
"2015-08",Street Condition,2,8858
"2015-08",UNSANITARY CONDITION,3,8374
"2015-08",Illegal Parking,4,8102
"2015-08",Street Light Condition,5,7923
"2015-08",Noise - Street/Sidewalk,6,7812
"2015-08",Blocked Driveway,7,7765
"2015-08",Water System,8,7289
"2015-08",PAINT/PLASTER,9,5847
"2015-08",General Construction/Plumbing,10,4762
"2015-09",Noise - Residential,1,18984
"2015-09",Illegal Parking,2,8770
"2015-09",Blocked Driveway,3,8703
"2015-09",Street Light Condition,4,8653
"2015-09",UNSANITARY CONDITION,5,8421
"2015-09",Street Condition,6,6790
"2015-09",Noise - Street/Sidewalk,7,6490
"2015-09",PAINT/PLASTER,8,6153
"2015-09",Noise,9,5189
"2015-09",Water System,10,5154
"2015-10",HEAT/HOT WATER,1,25495
"2015-10",Noise - Residential,2,16777
"2015-10",Blocked Driveway,3,9435
"2015-10",Street Light Condition,4,8543
"2015-10",Illegal Parking,5,8524
"2015-10",UNSANITARY CONDITION,6,8032
"2015-10",PAINT/PLASTER,7,6485
"2015-10",Street Condition,8,6384
"2015-10",Noise,9,6179
"2015-10",PLUMBING,10,4988
"2015-11",HEAT/HOT WATER,1,27572
"2015-11",Noise - Residential,2,16163
"2015-11",Blocked Driveway,3,9664
"2015-11",Illegal Parking,4,8611
"2015-11",Street Light Condition,5,7425
"2015-11",UNSANITARY CONDITION,6,6878
"2015-11",Noise,7,5863
"2015-11",PAINT/PLASTER,8,5789
"2015-11",Street Condition,9,4886
"2015-11",PLUMBING,10,4813
"2015-12",HEAT/HOT WATER,1,22363
"2015-12",Noise - Residential,2,17445
"2015-12",Blocked Driveway,3,9541
"2015-12",Illegal Parking,4,8792
"2015-12",Street Light Condition,5,8349
"2015-12",UNSANITARY CONDITION,6,6349
"2015-12",Street Condition,7,6107
"2015-12",PAINT/PLASTER,8,5031
"2015-12",Noise,9,4769
"2015-12",PLUMBING,10,4436
"2016-01",HEAT/HOT WATER,1,48413
"2016-01",Noise - Residential,2,15974
"2016-01",Blocked Driveway,3,10122
"2016-01",Illegal Parking,4,8924
"2016-01",Street Light Condition,5,7750
"2016-01",UNSANITARY CONDITION,6,6566
"2016-01",Water System,7,6453
"2016-01",Street Condition,8,6330
"2016-01",PAINT/PLASTER,9,5664
"2016-01",PLUMBING,10,5234
"2016-02",HEAT/HOT WATER,1,38182
"2016-02",Noise - Residential,2,14517
"2016-02",Street Condition,3,9436
"2016-02",Blocked Driveway,4,8214
"2016-02",Street Light Condition,5,8182
"2016-02",Illegal Parking,6,7745
"2016-02",UNSANITARY CONDITION,7,6174
"2016-02",Water System,8,5619
"2016-02",PLUMBING,9,5320
"2016-02",PAINT/PLASTER,10,4999
"2016-03",HEAT/HOT WATER,1,17749
"2016-03",Noise - Residential,2,16167
"2016-03",Street Condition,3,11602
"2016-03",Illegal Parking,4,9704
"2016-03",Blocked Driveway,5,9152
"2016-03",Street Light Condition,6,8576
"2016-03",UNSANITARY CONDITION,7,6167
"2016-03",Noise,8,5739
"2016-03",Water System,9,5584
"2016-03",PAINT/PLASTER,10,5194
"2016-04",Noise - Residential,1,18911
"2016-04",HEAT/HOT WATER,2,12889
"2016-04",Illegal Parking,3,9630
"2016-04",Street Condition,4,9213
"2016-04",Blocked Driveway,5,8909
"2016-04",Street Light Condition,6,7268
"2016-04",Noise,7,5930
"2016-04",UNSANITARY CONDITION,8,5423
"2016-04",Noise - Commercial,9,4989
"2016-04",Noise - Street/Sidewalk,10,4970
"2016-05",Noise - Residential,1,22794
"2016-05",Illegal Parking,2,10798
"2016-05",Blocked Driveway,3,9513
"2016-05",Street Condition,4,8761
"2016-05",Street Light Condition,5,7961
"2016-05",HEAT/HOT WATER,6,7753
"2016-05",Noise - Street/Sidewalk,7,7533
"2016-05",Noise,8,5901
"2016-05",UNSANITARY CONDITION,9,5897
"2016-05",Noise - Commercial,10,5536
"2016-06",Noise - Residential,1,20948
"2016-06",Illegal Parking,2,11802
"2016-06",Blocked Driveway,3,10407
"2016-06",Noise - Street/Sidewalk,4,9025
"2016-06",Street Condition,5,8886
"2016-06",Street Light Condition,6,7605
"2016-06",UNSANITARY CONDITION,7,6814
"2016-06",Water System,8,5561
"2016-06",Homeless Person Assistance,9,5488
"2016-06",General Construction/Plumbing,10,5204
"2016-07",Noise - Residential,1,21136
"2016-07",Water System,2,10828
"2016-07",Illegal Parking,3,10481
"2016-07",Blocked Driveway,4,9489
"2016-07",Noise - Street/Sidewalk,5,8435
"2016-07",UNSANITARY CONDITION,6,7593
"2016-07",Street Light Condition,7,6846
"2016-07",Street Condition,8,6374
"2016-07",Homeless Person Assistance,9,5323
"2016-07",PAINT/PLASTER,10,5060
"2016-08",Noise - Residential,1,17312
"2016-08",Water System,2,11343
"2016-08",Illegal Parking,3,10458
"2016-08",Blocked Driveway,4,9259
"2016-08",UNSANITARY CONDITION,5,8822
"2016-08",Street Light Condition,6,7410
"2016-08",Noise - Street/Sidewalk,7,7263
"2016-08",Street Condition,8,7160
"2016-08",Homeless Person Assistance,9,6146
"2016-08",PAINT/PLASTER,10,5764
"2016-09",Noise - Residential,1,20855
"2016-09",Illegal Parking,2,11398
"2016-09",Blocked Driveway,3,10815
"2016-09",Noise - Street/Sidewalk,4,7763
"2016-09",UNSANITARY CONDITION,5,7234
"2016-09",Street Light Condition,6,7037
"2016-09",Street Condition,7,5766
"2016-09",Noise,8,5186
"2016-09",Water System,9,5143
"2016-09",Homeless Person Assistance,10,5065
"2016-10",HEAT/HOT WATER,1,22496
"2016-10",Noise - Residential,2,19310
"2016-10",Blocked Driveway,3,10522
"2016-10",Illegal Parking,4,10344
"2016-10",Street Light Condition,5,7296
"2016-10",UNSANITARY CONDITION,6,7242
"2016-10",Noise,7,5696
"2016-10",Street Condition,8,5643
"2016-10",Noise - Street/Sidewalk,9,5179
"2016-10",PAINT/PLASTER,10,5137
"2016-11",HEAT/HOT WATER,1,28490
"2016-11",Noise - Residential,2,16404
"2016-11",Blocked Driveway,3,11187
"2016-11",Illegal Parking,4,10571
"2016-11",UNSANITARY CONDITION,5,6415
"2016-11",Street Light Condition,6,6349
"2016-11",Street Condition,7,5226
"2016-11",PAINT/PLASTER,8,5053
"2016-11",Noise,9,4929
"2016-11",PLUMBING,10,4567
"2016-12",HEAT/HOT WATER,1,41968
"2016-12",Noise - Residential,2,17578
"2016-12",Blocked Driveway,3,11457
"2016-12",Illegal Parking,4,10624
"2016-12",Street Light Condition,5,6842
"2016-12",UNSANITARY CONDITION,6,6122
"2016-12",Street Condition,7,6022
"2016-12",PLUMBING,8,5581
"2016-12",PAINT/PLASTER,9,5216
"2016-12",Water System,10,4268
"2017-01",HEAT/HOT WATER,1,34000
"2017-01",Noise - Residential,2,17918
"2017-01",Illegal Parking,3,11047
"2017-01",Blocked Driveway,4,10798
"2017-01",Street Condition,5,8364
"2017-01",Street Light Condition,6,7106
"2017-01",UNSANITARY CONDITION,7,6637
"2017-01",PLUMBING,8,5555
"2017-01",Water System,9,5532
"2017-01",PAINT/PLASTER,10,5379
"2017-02",HEAT/HOT WATER,1,23304
"2017-02",Noise - Residential,2,15452
"2017-02",Illegal Parking,3,9723
"2017-02",Blocked Driveway,4,9374
"2017-02",Street Condition,5,7873
"2017-02",Street Light Condition,6,6146
"2017-02",UNSANITARY CONDITION,7,5846
"2017-02",Water System,8,4929
"2017-02",PAINT/PLASTER,9,4803
"2017-02",Noise,10,4343
"2017-03",HEAT/HOT WATER,1,31106
"2017-03",Noise - Residential,2,16203
"2017-03",Blocked Driveway,3,12169
"2017-03",Illegal Parking,4,11547
"2017-03",Street Condition,5,9507
"2017-03",Street Light Condition,6,7084
"2017-03",Snow,7,6878
"2017-03",UNSANITARY CONDITION,8,6126
"2017-03",PAINT/PLASTER,9,4924
"2017-03",Noise,10,4543
"2017-04",Noise - Residential,1,20578
"2017-04",Street Condition,2,12347
"2017-04",Illegal Parking,3,11011
"2017-04",HEAT/HOT WATER,4,10727
"2017-04",Blocked Driveway,5,9873
"2017-04",Street Light Condition,6,7781
"2017-04",Noise - Street/Sidewalk,7,6438
"2017-04",Noise,8,6410
"2017-04",UNSANITARY CONDITION,9,5678
"2017-04",Water System,10,4832
"2017-05",Noise - Residential,1,20968
"2017-05",Illegal Parking,2,13214
"2017-05",Blocked Driveway,3,10962
"2017-05",Street Condition,4,9783
"2017-05",Street Light Condition,5,8114
"2017-05",HEAT/HOT WATER,6,7548
"2017-05",Noise - Street/Sidewalk,7,7536
"2017-05",UNSANITARY CONDITION,8,6385
"2017-05",Noise,9,6004
"2017-05",Water System,10,5672
"2017-06",Noise - Residential,1,21603
"2017-06",Illegal Parking,2,14690
"2017-06",Blocked Driveway,3,11916
"2017-06",Noise - Street/Sidewalk,4,11100
"2017-06",Street Condition,5,9982
"2017-06",Water System,6,7951
"2017-06",Street Light Condition,7,6792
"2017-06",UNSANITARY CONDITION,8,6682
"2017-06",Noise,9,5354
"2017-06",General Construction/Plumbing,10,5004
"2017-07",Noise - Residential,1,21578
"2017-07",Illegal Parking,2,13046
"2017-07",Blocked Driveway,3,11136
"2017-07",Noise - Street/Sidewalk,4,11041
"2017-07",Water System,5,8548
"2017-07",UNSANITARY CONDITION,6,7340
"2017-07",Street Condition,7,7202
"2017-07",Street Light Condition,8,6057
"2017-07",General Construction/Plumbing,9,4794
"2017-07",PAINT/PLASTER,10,4600
"2017-08",Noise - Residential,1,19854
"2017-08",Illegal Parking,2,12012
"2017-08",Blocked Driveway,3,10377
"2017-08",Noise - Street/Sidewalk,4,9602
"2017-08",UNSANITARY CONDITION,5,8017
"2017-08",Street Light Condition,6,7618
"2017-08",Street Condition,7,6792
"2017-08",Water System,8,5797
"2017-08",PAINT/PLASTER,9,5233
"2017-08",General Construction/Plumbing,10,5211
"2017-09",Noise - Residential,1,21608
"2017-09",Illegal Parking,2,13413
"2017-09",Blocked Driveway,3,11880
"2017-09",Request Large Bulky Item Collection,4,11366
"2017-09",Noise - Street/Sidewalk,5,9586
"2017-09",Street Light Condition,6,7036
"2017-09",UNSANITARY CONDITION,7,6871
"2017-09",Street Condition,8,5783
"2017-09",Noise,9,5633
"2017-09",General Construction/Plumbing,10,4691
"2017-10",Noise - Residential,1,20489
"2017-10",Illegal Parking,2,13487
"2017-10",Blocked Driveway,3,12450
"2017-10",Request Large Bulky Item Collection,4,11950
"2017-10",HEAT/HOT WATER,5,10249
"2017-10",Street Light Condition,6,7621
"2017-10",UNSANITARY CONDITION,7,7249
"2017-10",Noise - Street/Sidewalk,8,7088
"2017-10",Noise,9,6260
"2017-10",Street Condition,10,5535
"2017-11",HEAT/HOT WATER,1,37485
"2017-11",Noise - Residential,2,16469
"2017-11",Blocked Driveway,3,12465
"2017-11",Illegal Parking,4,12073
"2017-11",Request Large Bulky Item Collection,5,12000
"2017-11",UNSANITARY CONDITION,6,6565
"2017-11",Street Light Condition,7,6540
"2017-11",Noise,8,5026
"2017-11",PAINT/PLASTER,9,4655
"2017-11",Street Condition,10,4528
"2017-12",HEAT/HOT WATER,1,48249
"2017-12",Noise - Residential,2,17507
"2017-12",Blocked Driveway,3,12813
"2017-12",Request Large Bulky Item Collection,4,11262
"2017-12",Illegal Parking,5,10977
"2017-12",Street Light Condition,6,6300
"2017-12",UNSANITARY CONDITION,7,5886
"2017-12",Street Condition,8,5574
"2017-12",Water System,9,4916
"2017-12",PLUMBING,10,4838
"2018-01",HEAT/HOT WATER,1,56740
"2018-01",Noise - Residential,2,16700
"2018-01",Water System,3,12200
"2018-01",Blocked Driveway,4,11870
"2018-01",Illegal Parking,5,11338
"2018-01",Request Large Bulky Item Collection,6,10479
"2018-01",Street Condition,7,7377
"2018-01",PLUMBING,8,7117
"2018-01",UNSANITARY CONDITION,9,6820
"2018-01",Street Light Condition,10,6808
"2018-02",HEAT/HOT WATER,1,20072
"2018-02",Noise - Residential,2,15314
"2018-02",Street Condition,3,12800
"2018-02",Request Large Bulky Item Collection,4,11165
"2018-02",Illegal Parking,5,10747
"2018-02",Blocked Driveway,6,9534
"2018-02",Street Light Condition,7,6162
"2018-02",UNSANITARY CONDITION,8,5335
"2018-02",Water System,9,4738
"2018-02",PAINT/PLASTER,10,4442
"2018-03",HEAT/HOT WATER,1,24047
"2018-03",Noise - Residential,2,17070
"2018-03",Request Large Bulky Item Collection,3,13098
"2018-03",Street Condition,4,12985
"2018-03",Illegal Parking,5,12688
"2018-03",Blocked Driveway,6,11335
"2018-03",Damaged Tree,7,6944
"2018-03",Street Light Condition,8,6299
"2018-03",UNSANITARY CONDITION,9,6039
"2018-03",Noise,10,5031
"2018-04",Noise - Residential,1,18058
"2018-04",HEAT/HOT WATER,2,15459
"2018-04",Request Large Bulky Item Collection,3,14486
"2018-04",Illegal Parking,4,12371
"2018-04",Blocked Driveway,5,10846
"2018-04",Street Condition,6,10424
"2018-04",Street Light Condition,7,6516
"2018-04",Noise,8,6186
"2018-04",UNSANITARY CONDITION,9,5847
"2018-04",Water System,10,4567
"2018-05",Noise - Residential,1,20840
"2018-05",Request Large Bulky Item Collection,2,17144
"2018-05",Illegal Parking,3,15118
"2018-05",Blocked Driveway,4,11441
"2018-05",Street Condition,5,11170
"2018-05",Noise - Street/Sidewalk,6,9645
"2018-05",Street Light Condition,7,6521
"2018-05",Noise,8,6234
"2018-05",UNSANITARY CONDITION,9,6124
"2018-05",Water System,10,5797
"2018-06",Noise - Residential,1,21379
"2018-06",Request Large Bulky Item Collection,2,18026
"2018-06",Illegal Parking,3,15618
"2018-06",Noise - Street/Sidewalk,4,12224
"2018-06",Blocked Driveway,5,11989
"2018-06",Street Condition,6,9142
"2018-06",Water System,7,6678
"2018-06",UNSANITARY CONDITION,8,6268
"2018-06",Street Light Condition,9,6129
"2018-06",Noise,10,6084
"2018-07",Noise - Residential,1,19204
"2018-07",Request Large Bulky Item Collection,2,18148
"2018-07",Illegal Parking,3,14205
"2018-07",Noise - Street/Sidewalk,4,11760
"2018-07",Water System,5,10807
"2018-07",Blocked Driveway,6,10708
"2018-07",UNSANITARY CONDITION,7,8065
"2018-07",Street Condition,8,7810
"2018-07",Street Light Condition,9,6097
"2018-07",Damaged Tree,10,4938
"2018-08",Request Large Bulky Item Collection,1,18203
"2018-08",Noise - Residential,2,16542
"2018-08",Illegal Parking,3,13853
"2018-08",Blocked Driveway,4,10871
"2018-08",UNSANITARY CONDITION,5,9528
"2018-08",Noise - Street/Sidewalk,6,8928
"2018-08",Water System,7,8030
"2018-08",Street Condition,8,7922
"2018-08",Street Light Condition,9,6604
"2018-08",PAINT/PLASTER,10,5543
"2018-09",Noise - Residential,1,20970
"2018-09",Request Large Bulky Item Collection,2,15740
"2018-09",Illegal Parking,3,14856
"2018-09",Blocked Driveway,4,11837
"2018-09",Noise - Street/Sidewalk,5,9901
"2018-09",UNSANITARY CONDITION,6,8887
"2018-09",Street Light Condition,7,6440
"2018-09",Street Condition,8,6313
"2018-09",PAINT/PLASTER,9,5371
"2018-09",Water System,10,5117
"2018-10",HEAT/HOT WATER,1,26642
"2018-10",Noise - Residential,2,17652
"2018-10",Request Large Bulky Item Collection,3,15758
"2018-10",Illegal Parking,4,15339
"2018-10",Blocked Driveway,5,12009
"2018-10",UNSANITARY CONDITION,6,9832
"2018-10",Street Light Condition,7,7073
"2018-10",Street Condition,8,6742
"2018-10",Noise - Street/Sidewalk,9,6201
"2018-10",Noise,10,6196
"2018-11",HEAT/HOT WATER,1,35189
"2018-11",Noise - Residential,2,16277
"2018-11",Request Large Bulky Item Collection,3,13980
"2018-11",Illegal Parking,4,13337
"2018-11",Blocked Driveway,5,12245
"2018-11",UNSANITARY CONDITION,6,7370
"2018-11",Damaged Tree,7,6315
"2018-11",Street Light Condition,8,5655
"2018-11",Street Condition,9,5266
"2018-11",Noise,10,5122
"2018-12",HEAT/HOT WATER,1,29251
"2018-12",Noise - Residential,2,17911
"2018-12",Request Large Bulky Item Collection,3,13956
"2018-12",Illegal Parking,4,13926
"2018-12",Blocked Driveway,5,12514
"2018-12",Street Condition,6,6398
"2018-12",UNSANITARY CONDITION,7,6365
"2018-12",Street Light Condition,8,5960
"2018-12",Water System,9,5386
"2018-12",PAINT/PLASTER,10,4540
"2019-01",HEAT/HOT WATER,1,47095
"2019-01",Noise - Residential,2,16176
"2019-01",Request Large Bulky Item Collection,3,14628
"2019-01",Illegal Parking,4,13189
"2019-01",Blocked Driveway,5,11393
"2019-01",Street Condition,6,7470
"2019-01",UNSANITARY CONDITION,7,7101
"2019-01",Water System,8,6311
"2019-01",Street Light Condition,9,6222
"2019-01",PLUMBING,10,5645
"2019-02",HEAT/HOT WATER,1,28844
"2019-02",Noise - Residential,2,14939
"2019-02",Request Large Bulky Item Collection,3,13125
"2019-02",Illegal Parking,4,12253
"2019-02",Blocked Driveway,5,9906
"2019-02",Street Condition,6,7002
"2019-02",UNSANITARY CONDITION,7,6029
"2019-02",Street Light Condition,8,5588
"2019-02",Noise,9,5062
"2019-02",PAINT/PLASTER,10,4825
"2019-03",HEAT/HOT WATER,1,23190
"2019-03",Noise - Residential,2,17987
"2019-03",Request Large Bulky Item Collection,3,16479
"2019-03",Illegal Parking,4,15283
"2019-03",Blocked Driveway,5,11582
"2019-03",Street Condition,6,10496
"2019-03",UNSANITARY CONDITION,7,5914
"2019-03",Noise,8,5652
"2019-03",Street Light Condition,9,5071
"2019-03",PAINT/PLASTER,10,4674
"2019-04",Noise - Residential,1,19114
"2019-04",Request Large Bulky Item Collection,2,17566
"2019-04",Illegal Parking,3,15180
"2019-04",HEAT/HOT WATER,4,12431
"2019-04",Blocked Driveway,5,10360
"2019-04",Street Condition,6,8768
"2019-04",Street Light Condition,7,6311
"2019-04",Noise - Street/Sidewalk,8,6138
"2019-04",UNSANITARY CONDITION,9,6023
"2019-04",Noise,10,5777
"2019-05",Noise - Residential,1,23906
"2019-05",Request Large Bulky Item Collection,2,19289
"2019-05",Illegal Parking,3,17887
"2019-05",Blocked Driveway,4,12125
"2019-05",Noise - Street/Sidewalk,5,11526
"2019-05",Street Condition,6,9983
"2019-05",HEAT/HOT WATER,7,7983
"2019-05",Street Light Condition,8,6645
"2019-05",UNSANITARY CONDITION,9,6138
"2019-05",Noise,10,5825
"2019-06",Noise - Residential,1,24449
"2019-06",Request Large Bulky Item Collection,2,19706
"2019-06",Illegal Parking,3,18168
"2019-06",Noise - Street/Sidewalk,4,16720
"2019-06",Blocked Driveway,5,11664
"2019-06",Street Condition,6,8304
"2019-06",Noise - Vehicle,7,6288
"2019-06",Street Light Condition,8,6012
"2019-06",UNSANITARY CONDITION,9,6002
"2019-06",Noise,10,5493
"2019-07",Request Large Bulky Item Collection,1,22129
"2019-07",Illegal Parking,2,18690
"2019-07",Noise - Residential,3,17365
"2019-07",Noise - Street/Sidewalk,4,14718
"2019-07",Water System,5,13173
"2019-07",Blocked Driveway,6,10907
"2019-07",Street Condition,7,7276
"2019-07",Street Light Condition,8,5740
"2019-07",Sanitation Condition,9,4562
"2019-07",General Construction/Plumbing,10,4098
"2019-08",Request Large Bulky Item Collection,1,21350
"2019-08",Noise - Residential,2,19476
"2019-08",Illegal Parking,3,17504
"2019-08",Noise - Street/Sidewalk,4,14158
"2019-08",Blocked Driveway,5,10849
"2019-08",Sidewalk Condition,6,8094
"2019-08",Street Condition,7,7215
"2019-08",Water System,8,5704
"2019-08",Street Light Condition,9,5696
"2019-08",General Construction/Plumbing,10,4441
"2019-09",Noise - Residential,1,22962
"2019-09",Illegal Parking,2,20322
"2019-09",Request Large Bulky Item Collection,3,19212
"2019-09",Noise - Street/Sidewalk,4,13672
"2019-09",Blocked Driveway,5,12367
"2019-09",Sidewalk Condition,6,6580
"2019-09",Street Condition,7,5976
"2019-09",Noise - Vehicle,8,5414
"2019-09",Street Light Condition,9,5066
"2019-09",Noise,10,5052
"2019-10",Noise - Residential,1,20049
"2019-10",Request Large Bulky Item Collection,2,18439
"2019-10",Illegal Parking,3,18262
"2019-10",HEAT/HOT WATER,4,15580
"2019-10",Blocked Driveway,5,12118
"2019-10",Noise - Street/Sidewalk,6,7765
"2019-10",Street Light Condition,7,5996
"2019-10",Street Condition,8,5237
"2019-10",Noise,9,4993
"2019-10",Electronics Waste Appointment,10,4291
"2019-11",HEAT/HOT WATER,1,36687
"2019-11",Noise - Residential,2,17578
"2019-11",Request Large Bulky Item Collection,3,16480
"2019-11",Illegal Parking,4,16394
"2019-11",Blocked Driveway,5,12159
"2019-11",Street Light Condition,6,4982
"2019-11",Street Condition,7,4409
"2019-11",Missed Collection (All Materials),8,4243
"2019-11",Water System,9,3959
"2019-11",Noise,10,3897
"2019-12",HEAT/HOT WATER,1,30913
"2019-12",Noise - Residential,2,18849
"2019-12",Request Large Bulky Item Collection,3,16405
"2019-12",Illegal Parking,4,15214
"2019-12",Blocked Driveway,5,12306
"2019-12",Street Condition,6,6324
"2019-12",Street Light Condition,7,4882
"2019-12",Graffiti,8,4324
"2019-12",Electronics Waste Appointment,9,4303
"2019-12",Water System,10,3633
"2020-01",HEAT/HOT WATER,1,25711
"2020-01",Noise - Residential,2,18468
"2020-01",Request Large Bulky Item Collection,3,17788
"2020-01",Illegal Parking,4,16937
"2020-01",Blocked Driveway,5,11415
"2020-01",Street Condition,6,6187
"2020-01",Street Light Condition,7,5868
"2020-01",Electronics Waste Appointment,8,4800
"2020-01",Missed Collection (All Materials),9,4000
"2020-01",Water System,10,3920
"2020-02",HEAT/HOT WATER,1,20552
"2020-02",Noise - Residential,2,17929
"2020-02",Request Large Bulky Item Collection,3,15869
"2020-02",Illegal Parking,4,15362
