"month_year","complaint_type","rank","cantidad_reclamos"
"2020-02",Blocked Driveway,5,10244
"2020-02",Street Condition,6,6552
"2020-02",Street Light Condition,7,5389
"2020-02",Electronics Waste Appointment,8,3982
"2020-02",Noise,9,3527
"2020-02",Abandoned Vehicle,10,3405
"2020-03",Noise - Residential,1,21675
"2020-03",Request Large Bulky Item Collection,2,17208
"2020-03",HEAT/HOT WATER,3,16942
"2020-03",Illegal Parking,4,12732
"2020-03",Consumer Complaint,5,9564
"2020-03",Blocked Driveway,6,7741
"2020-03",Street Condition,7,6906
"2020-03",Street Light Condition,8,5743
"2020-03",Noise - Street/Sidewalk,9,5181
"2020-03",Noise,10,4293
"2020-04",Noise - Residential,1,26527
"2020-04",Non-Emergency Police Matter,2,22881
"2020-04",Request Large Bulky Item Collection,3,15158
"2020-04",HEAT/HOT WATER,4,12021
"2020-04",Consumer Complaint,5,7763
"2020-04",Illegal Parking,6,6781
"2020-04",Noise - Street/Sidewalk,7,5539
"2020-04",Street Light Condition,8,5230
"2020-04",Blocked Driveway,9,3222
"2020-04",Noise - Vehicle,10,3194
"2020-05",Noise - Residential,1,43035
"2020-05",Non-Emergency Police Matter,2,31521
"2020-05",Request Large Bulky Item Collection,3,25317
"2020-05",Noise - Street/Sidewalk,4,20104
"2020-05",Illegal Parking,5,12039
"2020-05",Noise - Vehicle,6,7738
"2020-05",HEAT/HOT WATER,7,6571
"2020-05",Street Light Condition,8,5546
"2020-05",Blocked Driveway,9,5255
"2020-05",Noise,10,4234
"2020-06",Noise - Street/Sidewalk,1,45581
"2020-06",Noise - Residential,2,41660
"2020-06",Request Large Bulky Item Collection,3,29754
"2020-06",Illegal Fireworks,4,29390
"2020-06",Non-Emergency Police Matter,5,15882
"2020-06",Illegal Parking,6,14155
"2020-06",Noise - Vehicle,7,10524
"2020-06",Blocked Driveway,8,7537
"2020-06",Street Light Condition,9,6202
"2020-06",UNSANITARY CONDITION,10,5251
"2020-07",Noise - Residential,1,40289
"2020-07",Noise - Street/Sidewalk,2,31922
"2020-07",Request Large Bulky Item Collection,3,31058
"2020-07",Illegal Fireworks,4,17917
"2020-07",Illegal Parking,5,17474
"2020-07",Water System,6,10974
"2020-07",NonCompliance with Phased Reopening,7,10923
"2020-07",Blocked Driveway,8,9631
"2020-07",Noise - Vehicle,9,9497
"2020-07",UNSANITARY CONDITION,10,7179
"2020-08",Noise - Residential,1,50031
"2020-08",Damaged Tree,2,45010
"2020-08",Request Large Bulky Item Collection,3,31904
"2020-08",Noise - Street/Sidewalk,4,31590
"2020-08",Illegal Parking,5,18511
"2020-08",Blocked Driveway,6,11440
"2020-08",Noise - Vehicle,7,11424
"2020-08",NonCompliance with Phased Reopening,8,9205
"2020-08",UNSANITARY CONDITION,9,7328
"2020-08",Water System,10,6334
"2020-09",Noise - Residential,1,49593
"2020-09",Request Large Bulky Item Collection,2,28058
"2020-09",Noise - Street/Sidewalk,3,26407
"2020-09",Illegal Parking,4,21045
"2020-09",Blocked Driveway,5,12487
"2020-09",Noise - Vehicle,6,12121
"2020-09",NonCompliance with Phased Reopening,7,7365
"2020-09",UNSANITARY CONDITION,8,7018
"2020-09",Noise - Commercial,9,6241
"2020-09",Street Light Condition,10,5237
"2020-10",Noise - Residential,1,40368
"2020-10",Request Large Bulky Item Collection,2,25123
"2020-10",Illegal Parking,3,20735
"2020-10",Noise - Street/Sidewalk,4,18384
"2020-10",HEAT/HOT WATER,5,15949
"2020-10",Blocked Driveway,6,13099
"2020-10",NonCompliance with Phased Reopening,7,8731
"2020-10",Noise - Vehicle,8,8457
"2020-10",UNSANITARY CONDITION,9,6869
"2020-10",Noise - Commercial,10,5946
"2020-11",Noise - Residential,1,29655
"2020-11",Request Large Bulky Item Collection,2,22931
"2020-11",HEAT/HOT WATER,3,22692
"2020-11",Illegal Parking,4,19832
"2020-11",Blocked Driveway,5,12505
"2020-11",Noise - Street/Sidewalk,6,11422
"2020-11",NonCompliance with Phased Reopening,7,6806
"2020-11",Noise - Vehicle,8,6651
"2020-11",UNSANITARY CONDITION,9,6203
"2020-11",Street Light Condition,10,4475
"2020-12",HEAT/HOT WATER,1,36369
"2020-12",Noise - Residential,2,27863
"2020-12",Request Large Bulky Item Collection,3,21941
"2020-12",Illegal Parking,4,18678
"2020-12",Blocked Driveway,5,12179
"2020-12",UNSANITARY CONDITION,6,6490
"2020-12",NonCompliance with Phased Reopening,7,6006
"2020-12",Street Light Condition,8,5289
"2020-12",Noise - Street/Sidewalk,9,4996
"2020-12",PLUMBING,10,4435
"2021-01",HEAT/HOT WATER,1,35308
"2021-01",Noise - Residential,2,27429
"2021-01",Request Large Bulky Item Collection,3,23917
"2021-01",Illegal Parking,4,19314
"2021-01",Blocked Driveway,5,10478
"2021-01",UNSANITARY CONDITION,6,6033
"2021-01",NonCompliance with Phased Reopening,7,5037
"2021-01",Street Condition,8,5005
"2021-01",Street Light Condition,9,4684
"2021-01",PLUMBING,10,4272
"2021-02",HEAT/HOT WATER,1,28885
"2021-02",Noise - Residential,2,21899
"2021-02",Illegal Parking,3,18316
"2021-02",Request Large Bulky Item Collection,4,16812
"2021-02",Blocked Driveway,5,12797
"2021-02",Snow,6,6040
"2021-02",UNSANITARY CONDITION,7,5773
"2021-02",Street Condition,8,5039
"2021-02",Street Light Condition,9,4711
"2021-02",PLUMBING,10,3868
"2021-03",Request Large Bulky Item Collection,1,28905
"2021-03",Noise - Residential,2,24471
"2021-03",Illegal Parking,3,23385
"2021-03",HEAT/HOT WATER,4,19933
"2021-03",Blocked Driveway,5,10881
"2021-03",Noise - Street/Sidewalk,6,9818
"2021-03",Street Condition,7,9096
"2021-03",Missed Collection (All Materials),8,8766
"2021-03",UNSANITARY CONDITION,9,6021
"2021-03",Noise - Vehicle,10,5979
"2021-04",Noise - Residential,1,28301
"2021-04",Request Large Bulky Item Collection,2,27104
"2021-04",Illegal Parking,3,24621
"2021-04",Noise - Street/Sidewalk,4,14381
"2021-04",HEAT/HOT WATER,5,12129
"2021-04",Blocked Driveway,6,11047
"2021-04",Street Condition,7,8802
"2021-04",Noise - Vehicle,8,8149
"2021-04",UNSANITARY CONDITION,9,5580
"2021-04",Street Light Condition,10,4929
"2021-05",Noise - Residential,1,36246
"2021-05",Illegal Parking,2,28814
"2021-05",Request Large Bulky Item Collection,3,27739
"2021-05",Noise - Street/Sidewalk,4,25046
"2021-05",Blocked Driveway,5,12811
"2021-05",Noise - Vehicle,6,11638
"2021-05",HEAT/HOT WATER,7,7155
"2021-05",Street Condition,8,6472
"2021-05",UNSANITARY CONDITION,9,5832
"2021-05",Noise - Commercial,10,5633
"2021-06",Noise - Residential,1,35576
"2021-06",Noise - Street/Sidewalk,2,29350
"2021-06",Request Large Bulky Item Collection,3,29205
"2021-06",Illegal Parking,4,28628
"2021-06",Blocked Driveway,5,12899
"2021-06",Noise - Vehicle,6,10933
"2021-06",Illegal Fireworks,7,9105
"2021-06",Water System,8,7952
"2021-06",UNSANITARY CONDITION,9,7025
"2021-06",Street Condition,10,6938
"2021-07",Noise - Residential,1,41602
"2021-07",Request Large Bulky Item Collection,2,28759
"2021-07",Illegal Parking,3,25548
"2021-07",Noise - Street/Sidewalk,4,25128
"2021-07",Blocked Driveway,5,12245
"2021-07",Illegal Fireworks,6,9174
"2021-07",Noise - Vehicle,7,9003
"2021-07",Water System,8,8463
"2021-07",UNSANITARY CONDITION,9,8235
"2021-07",Street Condition,10,5992
"2021-08",Noise - Residential,1,32561
"2021-08",Request Large Bulky Item Collection,2,28630
"2021-08",Illegal Parking,3,26325
"2021-08",Noise - Street/Sidewalk,4,21729
"2021-08",Blocked Driveway,5,12359
"2021-08",Noise - Vehicle,6,8867
"2021-08",UNSANITARY CONDITION,7,8864
"2021-08",Water System,8,7404
"2021-08",Dirty Conditions,9,5700
"2021-08",Street Condition,10,5271
"2021-09",Noise - Residential,1,38055
"2021-09",Illegal Parking,2,30391
"2021-09",Request Large Bulky Item Collection,3,27911
"2021-09",Noise - Street/Sidewalk,4,22156
"2021-09",Blocked Driveway,5,13778
"2021-09",UNSANITARY CONDITION,6,10885
"2021-09",Sewer,7,10859
"2021-09",Noise - Vehicle,8,9053
"2021-09",PAINT/PLASTER,9,6464
"2021-09",Noise - Commercial,10,6398
"2021-10",Illegal Parking,1,32594
"2021-10",Noise - Residential,2,31291
"2021-10",Request Large Bulky Item Collection,3,23661
"2021-10",Missed Collection,4,20045
"2021-10",Noise - Street/Sidewalk,5,17787
"2021-10",Blocked Driveway,6,14731
"2021-10",HEAT/HOT WATER,7,12572
"2021-10",UNSANITARY CONDITION,8,9891
"2021-10",Noise - Vehicle,9,7250
"2021-10",Noise - Commercial,10,7244
"2021-11",HEAT/HOT WATER,1,40630
"2021-11",Illegal Parking,2,30645
"2021-11",Noise - Residential,3,22379
"2021-11",Request Large Bulky Item Collection,4,19866
"2021-11",Blocked Driveway,5,14541
"2021-11",UNSANITARY CONDITION,6,9036
"2021-11",Noise - Street/Sidewalk,7,6612
"2021-11",Missed Collection,8,5763
"2021-11",PAINT/PLASTER,9,4977
"2021-11",PLUMBING,10,4969
"2021-12",HEAT/HOT WATER,1,30364
"2021-12",Illegal Parking,2,29401
"2021-12",Noise - Residential,3,22480
"2021-12",Request Large Bulky Item Collection,4,20522
"2021-12",Blocked Driveway,5,14058
"2021-12",UNSANITARY CONDITION,6,7230
"2021-12",Missed Collection,7,5578
"2021-12",Noise - Street/Sidewalk,8,5347
"2021-12",Street Condition,9,5085
"2021-12",PLUMBING,10,4655
"2022-01",HEAT/HOT WATER,1,62026
"2022-01",Illegal Parking,2,27859
"2022-01",Noise - Residential,3,22341
"2022-01",Request Large Bulky Item Collection,4,20739
"2022-01",Blocked Driveway,5,12270
"2022-01",UNSANITARY CONDITION,6,8365
"2022-01",PLUMBING,7,6036
"2022-01",Street Condition,8,5586
"2022-01",Water System,9,4984
"2022-01",Street Light Condition,10,4939
"2022-02",HEAT/HOT WATER,1,30126
"2022-02",Noise - Residential,2,29852
"2022-02",Illegal Parking,3,27166
"2022-02",Request Large Bulky Item Collection,4,18720
"2022-02",Blocked Driveway,5,11797
"2022-02",Street Condition,6,8016
"2022-02",UNSANITARY CONDITION,7,6810
"2022-02",PLUMBING,8,5020
"2022-02",Street Light Condition,9,4300
"2022-02",Graffiti,10,4118
"2022-03",Illegal Parking,1,35343
"2022-03",Noise - Residential,2,24313
"2022-03",HEAT/HOT WATER,3,23780
"2022-03",Blocked Driveway,4,13317
"2022-03",Street Condition,5,8839
"2022-03",UNSANITARY CONDITION,6,7534
"2022-03",Noise - Street/Sidewalk,7,7323
"2022-03",Request Large Bulky Item Collection,8,5968
"2022-03",Abandoned Vehicle,9,5381
"2022-03",Noise - Vehicle,10,5265
"2022-04",Illegal Parking,1,33164
"2022-04",Noise - Residential,2,25670
"2022-04",HEAT/HOT WATER,3,16138
"2022-04",Blocked Driveway,4,12527
"2022-04",Noise - Street/Sidewalk,5,10070
"2022-04",Street Condition,6,8484
"2022-04",UNSANITARY CONDITION,7,6864
"2022-04",Noise - Vehicle,8,6220
"2022-04",Noise - Commercial,9,5500
"2022-04",Abandoned Vehicle,10,5309
"2022-05",Noise - Residential,1,45555
"2022-05",Illegal Parking,2,36635
"2022-05",Noise - Street/Sidewalk,3,20064
"2022-05",Blocked Driveway,4,13344
"2022-05",Noise - Vehicle,5,8560
"2022-05",Street Condition,6,8133
"2022-05",UNSANITARY CONDITION,7,7107
"2022-05",HEAT/HOT WATER,8,7040
"2022-05",Noise - Commercial,9,6543
"2022-05",Water System,10,5402
"2022-06",Illegal Parking,1,36777
"2022-06",Noise - Residential,2,31002
"2022-06",Noise - Street/Sidewalk,3,23249
"2022-06",Blocked Driveway,4,13548
"2022-06",UNSANITARY CONDITION,5,8083
"2022-06",Noise - Vehicle,6,7892
"2022-06",Street Condition,7,7788
"2022-06",Noise - Commercial,8,6350
"2022-06",Abandoned Vehicle,9,5791
"2022-06",Street Light Condition,10,5406
"2022-07",Noise - Residential,1,51365
"2022-07",Illegal Parking,2,34026
"2022-07",Noise - Street/Sidewalk,3,23625
"2022-07",Blocked Driveway,4,12126
"2022-07",Water System,5,11326
"2022-07",UNSANITARY CONDITION,6,9148
"2022-07",Noise - Vehicle,7,7171
"2022-07",Street Condition,8,6136
"2022-07",Abandoned Vehicle,9,5628
"2022-07",Illegal Fireworks,10,5409
"2022-08",Illegal Parking,1,33094
"2022-08",Noise - Residential,2,32909
"2022-08",Noise - Street/Sidewalk,3,19771
"2022-08",Blocked Driveway,4,11987
"2022-08",UNSANITARY CONDITION,5,9828
"2022-08",Water System,6,9594
"2022-08",Abandoned Vehicle,7,6175
"2022-08",Noise - Vehicle,8,5909
"2022-08",Street Condition,9,5805
"2022-08",Traffic Signal Condition,10,5268
"2022-09",Noise - Residential,1,44350
"2022-09",Illegal Parking,2,36157
"2022-09",Noise - Street/Sidewalk,3,18329
"2022-09",Blocked Driveway,4,13333
"2022-09",UNSANITARY CONDITION,5,9054
"2022-09",Abandoned Vehicle,6,5817
"2022-09",Noise - Commercial,7,5722
"2022-09",Street Condition,8,5351
"2022-09",Noise - Vehicle,9,5330
"2022-09",Missed Collection,10,5172
"2022-10",Illegal Parking,1,36828
"2022-10",Noise - Residential,2,27492
"2022-10",HEAT/HOT WATER,3,25903
"2022-10",Blocked Driveway,4,13758
"2022-10",Noise - Street/Sidewalk,5,11858
"2022-10",UNSANITARY CONDITION,6,9332
"2022-10",Noise - Commercial,7,6711
"2022-10",Missed Collection,8,5841
"2022-10",Abandoned Vehicle,9,5414
"2022-10",Street Condition,10,5297
"2022-11",Illegal Parking,1,35097
"2022-11",HEAT/HOT WATER,2,34061
"2022-11",Noise - Residential,3,21052
"2022-11",Blocked Driveway,4,13645
"2022-11",UNSANITARY CONDITION,5,8697
"2022-11",Noise - Street/Sidewalk,6,7699
"2022-11",Missed Collection,7,6106
"2022-11",Abandoned Vehicle,8,5119
"2022-11",PLUMBING,9,4954
"2022-11",Noise,10,4773
"2022-12",HEAT/HOT WATER,1,53796
"2022-12",Illegal Parking,2,33797
"2022-12",Noise - Residential,3,21148
"2022-12",Blocked Driveway,4,14220
"2022-12",UNSANITARY CONDITION,5,8426
"2022-12",PLUMBING,6,6405
"2022-12",Missed Collection,7,5358
"2022-12",Street Condition,8,5192
"2022-12",Water System,9,5114
"2022-12",PAINT/PLASTER,10,4561
"2023-01",Illegal Parking,1,37791
"2023-01",HEAT/HOT WATER,2,30210
"2023-01",Noise - Residential,3,21770
"2023-01",Blocked Driveway,4,13304
"2023-01",UNSANITARY CONDITION,5,8511
"2023-01",Street Condition,6,6994
"2023-01",Abandoned Vehicle,7,5497
"2023-01",PLUMBING,8,5358
"2023-01",Noise - Street/Sidewalk,9,5051
"2023-01",PAINT/PLASTER,10,4425
"2023-02",Illegal Parking,1,33047
"2023-02",HEAT/HOT WATER,2,32929
"2023-02",Noise - Residential,3,20821
"2023-02",Blocked Driveway,4,11763
"2023-02",UNSANITARY CONDITION,5,7561
"2023-02",Street Condition,6,6478
"2023-02",PLUMBING,7,5286
"2023-02",Abandoned Vehicle,8,5262
"2023-02",Noise - Street/Sidewalk,9,4367
"2023-02",Noise - Helicopter,10,4324
"2023-03",Illegal Parking,1,39427
"2023-03",HEAT/HOT WATER,2,26574
"2023-03",Noise - Residential,3,22519
"2023-03",Blocked Driveway,4,13986
"2023-03",UNSANITARY CONDITION,5,8398
"2023-03",Street Condition,6,6928
"2023-03",Noise - Helicopter,7,6517
"2023-03",Noise - Street/Sidewalk,8,5669
"2023-03",PLUMBING,9,5173
"2023-03",Abandoned Vehicle,10,4995
"2023-04",Illegal Parking,1,37356
"2023-04",Noise - Residential,2,25220
"2023-04",HEAT/HOT WATER,3,14556
"2023-04",Blocked Driveway,4,12680
"2023-04",Noise - Street/Sidewalk,5,11371
"2023-04",UNSANITARY CONDITION,6,7468
"2023-04",Noise - Helicopter,7,7194
"2023-04",Noise - Commercial,8,6154
"2023-04",Noise - Vehicle,9,5203
"2023-04",Abandoned Vehicle,10,4969
"2023-05",Illegal Parking,1,43291
"2023-05",Noise - Residential,2,29931
"2023-05",Noise - Street/Sidewalk,3,17966
"2023-05",Blocked Driveway,4,13806
"2023-05",UNSANITARY CONDITION,5,8553
"2023-05",Noise - Helicopter,6,7461
"2023-05",HEAT/HOT WATER,7,7103
"2023-05",Noise - Commercial,8,6705
"2023-05",Noise - Vehicle,9,6446
"2023-05",Street Condition,10,5754
"2023-06",Illegal Parking,1,41617
"2023-06",Noise - Residential,2,28333
"2023-06",Noise - Street/Sidewalk,3,17089
"2023-06",Blocked Driveway,4,13487
"2023-06",UNSANITARY CONDITION,5,8868
"2023-06",Noise - Commercial,6,6563
"2023-06",Street Condition,7,5990
"2023-06",Missed Collection,8,5504
"2023-06",Noise - Vehicle,9,5377
"2023-06",Abandoned Vehicle,10,5308
"2023-07",Illegal Parking,1,38932
"2023-07",Noise - Residential,2,24968
"2023-07",Noise - Street/Sidewalk,3,20645
"2023-07",Blocked Driveway,4,13200
"2023-07",UNSANITARY CONDITION,5,11199
"2023-07",Water System,6,10576
"2023-07",Illegal Fireworks,7,6251
"2023-07",Abandoned Vehicle,8,5610
"2023-07",Dirty Condition,9,5504
"2023-07",Missed Collection,10,5258
"2023-08",Illegal Parking,1,39334
"2023-08",Noise - Residential,2,25099
"2023-08",Noise - Street/Sidewalk,3,20833
"2023-08",Blocked Driveway,4,13079
"2023-08",UNSANITARY CONDITION,5,11804
"2023-08",Abandoned Vehicle,6,6325
"2023-08",Dirty Condition,7,5513
"2023-08",PAINT/PLASTER,8,5284
"2023-08",PLUMBING,9,5247
"2023-08",Noise - Commercial,10,5167
"2023-09",Illegal Parking,1,40555
"2023-09",Noise - Residential,2,25952
"2023-09",Noise - Street/Sidewalk,3,17072
"2023-09",Blocked Driveway,4,14602
"2023-09",UNSANITARY CONDITION,5,11270
"2023-09",Noise - Commercial,6,6342
"2023-09",WATER LEAK,7,5460
"2023-09",PAINT/PLASTER,8,5447
"2023-09",Abandoned Vehicle,9,5429
"2023-09",Dirty Condition,10,5224
"2023-10",Illegal Parking,1,42600
"2023-10",Noise - Residential,2,26396
"2023-10",HEAT/HOT WATER,3,22135
"2023-10",Blocked Driveway,4,15258
"2023-10",Noise - Street/Sidewalk,5,14657
"2023-10",UNSANITARY CONDITION,6,12367
"2023-10",Noise - Commercial,7,7271
"2023-10",PAINT/PLASTER,8,6294
"2023-10",Noise,9,5879
"2023-10",Abandoned Vehicle,10,5773
"2023-11",HEAT/HOT WATER,1,47298
"2023-11",Illegal Parking,2,41126
"2023-11",Noise - Residential,3,23027
"2023-11",Blocked Driveway,4,15491
"2023-11",UNSANITARY CONDITION,5,10136
"2023-11",Noise - Street/Sidewalk,6,7065
"2023-11",Noise - Commercial,7,5688
"2023-11",PLUMBING,8,5491
"2023-11",PAINT/PLASTER,9,5209
"2023-11",Abandoned Vehicle,10,4962
"2023-12",Illegal Parking,1,41733
"2023-12",HEAT/HOT WATER,2,35545
"2023-12",Noise - Residential,3,24417
"2023-12",Blocked Driveway,4,15774
"2023-12",UNSANITARY CONDITION,5,9305
"2023-12",Noise - Helicopter,6,8724
"2023-12",Noise - Commercial,7,6320
"2023-12",Noise - Street/Sidewalk,8,5664
"2023-12",PLUMBING,9,5648
"2023-12",PAINT/PLASTER,10,5534
"2024-01",HEAT/HOT WATER,1,51325
"2024-01",Illegal Parking,2,41124
"2024-01",Noise - Residential,3,22091
"2024-01",Blocked Driveway,4,14966
"2024-01",UNSANITARY CONDITION,5,10720
"2024-01",PLUMBING,6,6800
"2024-01",PAINT/PLASTER,7,6755
"2024-01",Abandoned Vehicle,8,6079
"2024-01",WATER LEAK,9,5863
"2024-01",Traffic Signal Condition,10,5225
"2024-02",Illegal Parking,1,38792
"2024-02",HEAT/HOT WATER,2,30316
"2024-02",Noise - Residential,3,21511
"2024-02",Blocked Driveway,4,13642
"2024-02",UNSANITARY CONDITION,5,8488
"2024-02",Street Condition,6,5870
"2024-02",Abandoned Vehicle,7,5387
"2024-02",PLUMBING,8,5260
"2024-02",PAINT/PLASTER,9,4970
"2024-02",Noise - Commercial,10,4552
"2024-03",Illegal Parking,1,43167
"2024-03",Noise - Residential,2,24896
"2024-03",HEAT/HOT WATER,3,24809
"2024-03",Blocked Driveway,4,14459
"2024-03",UNSANITARY CONDITION,5,8984
"2024-03",Street Condition,6,8142
"2024-03",Noise - Street/Sidewalk,7,7609
"2024-03",Noise - Commercial,8,6376
"2024-03",Abandoned Vehicle,9,6159
"2024-03",PAINT/PLASTER,10,5606
"2024-04",Illegal Parking,1,42717
"2024-04",Noise - Residential,2,25261
"2024-04",HEAT/HOT WATER,3,16199
"2024-04",Blocked Driveway,4,13045
"2024-04",Noise - Street/Sidewalk,5,9820
"2024-04",UNSANITARY CONDITION,6,8811
"2024-04",Street Condition,7,8482
"2024-04",Noise - Commercial,8,6380
"2024-04",Abandoned Vehicle,9,6156
"2024-04",Noise - Vehicle,10,5523
"2024-05",Illegal Parking,1,46663
"2024-05",Noise - Residential,2,29848
"2024-05",Noise - Street/Sidewalk,3,15457
"2024-05",Blocked Driveway,4,14002
"2024-05",UNSANITARY CONDITION,5,9566
"2024-05",Street Condition,6,7264
"2024-05",Noise - Commercial,7,7162
"2024-05",HEAT/HOT WATER,8,6821
"2024-05",Noise - Vehicle,9,6169
"2024-05",Abandoned Vehicle,10,6047
"2024-06",Illegal Parking,1,46372
"2024-06",Noise - Residential,2,31058
"2024-06",Noise - Street/Sidewalk,3,24781
"2024-06",Blocked Driveway,4,14076
"2024-06",Water System,5,10141
"2024-06",UNSANITARY CONDITION,6,10071
"2024-06",Street Condition,7,6946
"2024-06",Abandoned Vehicle,8,6138
"2024-06",Damaged Tree,9,6043
"2024-06",Noise - Commercial,10,6014
"2024-07",Illegal Parking,1,39868
"2024-07",Noise - Residential,2,27139
"2024-07",Noise - Street/Sidewalk,3,22539
"2024-07",Blocked Driveway,4,13117
"2024-07",Water System,5,11512
"2024-07",UNSANITARY CONDITION,6,11507
"2024-07",Illegal Fireworks,7,7026
"2024-07",Dirty Condition,8,6523
"2024-07",Street Condition,9,6327
"2024-07",Abandoned Vehicle,10,6097
"2024-08",Illegal Parking,1,38506
"2024-08",Noise - Residential,2,26797
"2024-08",Noise - Street/Sidewalk,3,20595
"2024-08",UNSANITARY CONDITION,4,12423
"2024-08",Blocked Driveway,5,12422
"2024-08",Water System,6,6874
"2024-08",Dirty Condition,7,6365
"2024-08",PAINT/PLASTER,8,6144
"2024-08",Abandoned Vehicle,9,6070
"2024-08",Street Condition,10,5849
"2024-09",Illegal Parking,1,45810
"2024-09",Noise - Residential,2,45560
"2024-09",Noise - Street/Sidewalk,3,21664
"2024-09",Blocked Driveway,4,15333
"2024-09",UNSANITARY CONDITION,5,11226
"2024-09",Noise - Commercial,6,7269
"2024-09",Dirty Condition,7,6878
"2024-09",Abandoned Vehicle,8,6289
"2024-09",Noise,9,5548
"2024-09",Encampment,10,5377
"2024-10",Illegal Parking,1,42959
"2024-10",Noise - Residential,2,38628
"2024-10",HEAT/HOT WATER,3,19644
"2024-10",Noise - Street/Sidewalk,4,18281
"2024-10",Blocked Driveway,5,14635
"2024-10",UNSANITARY CONDITION,6,10595
"2024-10",Noise - Commercial,7,6607
"2024-10",Abandoned Vehicle,8,6084
"2024-10",Noise,9,5579
"2024-10",Lead,10,5529
"2024-11",Illegal Parking,1,39784
"2024-11",HEAT/HOT WATER,2,39368
"2024-11",Noise - Residential,3,39103
"2024-11",Blocked Driveway,4,15239
"2024-11",Noise - Street/Sidewalk,5,9256
"2024-11",UNSANITARY CONDITION,6,9194
"2024-11",Lead,7,9103
"2024-11",PLUMBING,8,5302
"2024-11",Noise - Commercial,9,5079
"2024-11",Abandoned Vehicle,10,4900
"2024-12",HEAT/HOT WATER,1,62089
"2024-12",Noise - Residential,2,42964
"2024-12",Illegal Parking,3,38587
"2024-12",Blocked Driveway,4,14789
"2024-12",UNSANITARY CONDITION,5,9094
"2024-12",PLUMBING,6,6287
"2024-12",Water System,7,5491
"2024-12",Street Condition,8,5126
"2024-12",PAINT/PLASTER,9,4878
"2024-12",Abandoned Vehicle,10,4769
